stt,buying,maint,doors,persons,lug_boot,safety,acceptability
50,vhigh,vhigh,3,more,med,med,-1
51,vhigh,vhigh,3,more,med,high,-1
52,vhigh,vhigh,3,more,big,low,-1
53,vhigh,vhigh,3,more,big,med,-1
54,vhigh,vhigh,3,more,big,high,-1
55,vhigh,vhigh,4,2,small,low,-1
56,vhigh,vhigh,4,2,small,med,-1
57,vhigh,vhigh,4,2,small,high,-1
58,vhigh,vhigh,4,2,med,low,-1
59,vhigh,vhigh,4,2,med,med,-1
60,vhigh,vhigh,4,2,med,high,-1
61,vhigh,vhigh,4,2,big,low,-1
62,vhigh,vhigh,4,2,big,med,-1
63,vhigh,vhigh,4,2,big,high,-1
64,vhigh,vhigh,4,4,small,low,-1
65,vhigh,vhigh,4,4,small,med,-1
66,vhigh,vhigh,4,4,small,high,-1
67,vhigh,vhigh,4,4,med,low,-1
68,vhigh,vhigh,4,4,med,med,-1
69,vhigh,vhigh,4,4,med,high,-1
70,vhigh,vhigh,4,4,big,low,-1
71,vhigh,vhigh,4,4,big,med,-1
72,vhigh,vhigh,4,4,big,high,-1
73,vhigh,vhigh,4,more,small,low,-1
74,vhigh,vhigh,4,more,small,med,-1
75,vhigh,vhigh,4,more,small,high,-1
76,vhigh,vhigh,4,more,med,low,-1
77,vhigh,vhigh,4,more,med,med,-1
78,vhigh,vhigh,4,more,med,high,-1
79,vhigh,vhigh,4,more,big,low,-1
80,vhigh,vhigh,4,more,big,med,-1
81,vhigh,vhigh,4,more,big,high,-1
82,vhigh,vhigh,5more,2,small,low,-1
83,vhigh,vhigh,5more,2,small,med,-1
84,vhigh,vhigh,5more,2,small,high,-1
85,vhigh,vhigh,5more,2,med,low,-1
86,vhigh,vhigh,5more,2,med,med,-1
87,vhigh,vhigh,5more,2,med,high,-1
88,vhigh,vhigh,5more,2,big,low,-1
89,vhigh,vhigh,5more,2,big,med,-1
90,vhigh,vhigh,5more,2,big,high,-1
91,vhigh,vhigh,5more,4,small,low,-1
92,vhigh,vhigh,5more,4,small,med,-1
93,vhigh,vhigh,5more,4,small,high,-1
94,vhigh,vhigh,5more,4,med,low,-1
95,vhigh,vhigh,5more,4,med,med,-1
96,vhigh,vhigh,5more,4,med,high,-1
97,vhigh,vhigh,5more,4,big,low,-1
98,vhigh,vhigh,5more,4,big,med,-1
99,vhigh,vhigh,5more,4,big,high,-1
100,vhigh,vhigh,5more,more,small,low,-1
101,vhigh,vhigh,5more,more,small,med,-1
102,vhigh,vhigh,5more,more,small,high,-1
103,vhigh,vhigh,5more,more,med,low,-1
104,vhigh,vhigh,5more,more,med,med,-1
105,vhigh,vhigh,5more,more,med,high,-1
106,vhigh,vhigh,5more,more,big,low,-1
107,vhigh,vhigh,5more,more,big,med,-1
108,vhigh,vhigh,5more,more,big,high,-1
109,vhigh,high,2,2,small,low,-1
110,vhigh,high,2,2,small,med,-1
111,vhigh,high,2,2,small,high,-1
112,vhigh,high,2,2,med,low,-1
113,vhigh,high,2,2,med,med,-1
114,vhigh,high,2,2,med,high,-1
115,vhigh,high,2,2,big,low,-1
116,vhigh,high,2,2,big,med,-1
117,vhigh,high,2,2,big,high,-1
118,vhigh,high,2,4,small,low,-1
119,vhigh,high,2,4,small,med,-1
120,vhigh,high,2,4,small,high,-1
121,vhigh,high,2,4,med,low,-1
122,vhigh,high,2,4,med,med,-1
123,vhigh,high,2,4,med,high,-1
124,vhigh,high,2,4,big,low,-1
125,vhigh,high,2,4,big,med,-1
126,vhigh,high,2,4,big,high,-1
127,vhigh,high,2,more,small,low,-1
128,vhigh,high,2,more,small,med,-1
129,vhigh,high,2,more,small,high,-1
130,vhigh,high,2,more,med,low,-1
131,vhigh,high,2,more,med,med,-1
132,vhigh,high,2,more,med,high,-1
133,vhigh,high,2,more,big,low,-1
134,vhigh,high,2,more,big,med,-1
135,vhigh,high,2,more,big,high,-1
136,vhigh,high,3,2,small,low,-1
137,vhigh,high,3,2,small,med,-1
138,vhigh,high,3,2,small,high,-1
139,vhigh,high,3,2,med,low,-1
140,vhigh,high,3,2,med,med,-1
141,vhigh,high,3,2,med,high,-1
142,vhigh,high,3,2,big,low,-1
143,vhigh,high,3,2,big,med,-1
144,vhigh,high,3,2,big,high,-1
145,vhigh,high,3,4,small,low,-1
146,vhigh,high,3,4,small,med,-1
147,vhigh,high,3,4,small,high,-1
148,vhigh,high,3,4,med,low,-1
149,vhigh,high,3,4,med,med,-1
150,vhigh,high,3,4,med,high,-1
151,vhigh,high,3,4,big,low,-1
152,vhigh,high,3,4,big,med,-1
153,vhigh,high,3,4,big,high,-1
154,vhigh,high,3,more,small,low,-1
155,vhigh,high,3,more,small,med,-1
156,vhigh,high,3,more,small,high,-1
157,vhigh,high,3,more,med,low,-1
158,vhigh,high,3,more,med,med,-1
159,vhigh,high,3,more,med,high,-1
160,vhigh,high,3,more,big,low,-1
161,vhigh,high,3,more,big,med,-1
162,vhigh,high,3,more,big,high,-1
163,vhigh,high,4,2,small,low,-1
164,vhigh,high,4,2,small,med,-1
165,vhigh,high,4,2,small,high,-1
166,vhigh,high,4,2,med,low,-1
167,vhigh,high,4,2,med,med,-1
168,vhigh,high,4,2,med,high,-1
169,vhigh,high,4,2,big,low,-1
170,vhigh,high,4,2,big,med,-1
171,vhigh,high,4,2,big,high,-1
172,vhigh,high,4,4,small,low,-1
173,vhigh,high,4,4,small,med,-1
174,vhigh,high,4,4,small,high,-1
175,vhigh,high,4,4,med,low,-1
176,vhigh,high,4,4,med,med,-1
177,vhigh,high,4,4,med,high,-1
178,vhigh,high,4,4,big,low,-1
179,vhigh,high,4,4,big,med,-1
180,vhigh,high,4,4,big,high,-1
181,vhigh,high,4,more,small,low,-1
182,vhigh,high,4,more,small,med,-1
183,vhigh,high,4,more,small,high,-1
184,vhigh,high,4,more,med,low,-1
185,vhigh,high,4,more,med,med,-1
186,vhigh,high,4,more,med,high,-1
187,vhigh,high,4,more,big,low,-1
188,vhigh,high,4,more,big,med,-1
189,vhigh,high,4,more,big,high,-1
190,vhigh,high,5more,2,small,low,-1
191,vhigh,high,5more,2,small,med,-1
192,vhigh,high,5more,2,small,high,-1
193,vhigh,high,5more,2,med,low,-1
194,vhigh,high,5more,2,med,med,-1
195,vhigh,high,5more,2,med,high,-1
196,vhigh,high,5more,2,big,low,-1
197,vhigh,high,5more,2,big,med,-1
198,vhigh,high,5more,2,big,high,-1
199,vhigh,high,5more,4,small,low,-1
200,vhigh,high,5more,4,small,med,-1
201,vhigh,high,5more,4,small,high,-1
202,vhigh,high,5more,4,med,low,-1
203,vhigh,high,5more,4,med,med,-1
204,vhigh,high,5more,4,med,high,-1
205,vhigh,high,5more,4,big,low,-1
206,vhigh,high,5more,4,big,med,-1
207,vhigh,high,5more,4,big,high,-1
208,vhigh,high,5more,more,small,low,-1
209,vhigh,high,5more,more,small,med,-1
210,vhigh,high,5more,more,small,high,-1
211,vhigh,high,5more,more,med,low,-1
212,vhigh,high,5more,more,med,med,-1
213,vhigh,high,5more,more,med,high,-1
214,vhigh,high,5more,more,big,low,-1
215,vhigh,high,5more,more,big,med,-1
216,vhigh,high,5more,more,big,high,-1
217,vhigh,med,2,2,small,low,-1
218,vhigh,med,2,2,small,med,-1
219,vhigh,med,2,2,small,high,-1
220,vhigh,med,2,2,med,low,-1
221,vhigh,med,2,2,med,med,-1
222,vhigh,med,2,2,med,high,-1
223,vhigh,med,2,2,big,low,-1
224,vhigh,med,2,2,big,med,-1
225,vhigh,med,2,2,big,high,-1
226,vhigh,med,2,4,small,low,-1
227,vhigh,med,2,4,small,med,-1
228,vhigh,med,2,4,small,high,acc
229,vhigh,med,2,4,med,low,-1
230,vhigh,med,2,4,med,med,-1
231,vhigh,med,2,4,med,high,acc
232,vhigh,med,2,4,big,low,-1
233,vhigh,med,2,4,big,med,acc
234,vhigh,med,2,4,big,high,acc
235,vhigh,med,2,more,small,low,-1
236,vhigh,med,2,more,small,med,-1
237,vhigh,med,2,more,small,high,-1
238,vhigh,med,2,more,med,low,-1
239,vhigh,med,2,more,med,med,-1
240,vhigh,med,2,more,med,high,acc
241,vhigh,med,2,more,big,low,-1
242,vhigh,med,2,more,big,med,acc
243,vhigh,med,2,more,big,high,acc
244,vhigh,med,3,2,small,low,-1
245,vhigh,med,3,2,small,med,-1
246,vhigh,med,3,2,small,high,-1
247,vhigh,med,3,2,med,low,-1
248,vhigh,med,3,2,med,med,-1
249,vhigh,med,3,2,med,high,-1
250,vhigh,med,3,2,big,low,-1
251,vhigh,med,3,2,big,med,-1
252,vhigh,med,3,2,big,high,-1
253,vhigh,med,3,4,small,low,-1
254,vhigh,med,3,4,small,med,-1
255,vhigh,med,3,4,small,high,acc
256,vhigh,med,3,4,med,low,-1
257,vhigh,med,3,4,med,med,-1
258,vhigh,med,3,4,med,high,acc
259,vhigh,med,3,4,big,low,-1
260,vhigh,med,3,4,big,med,acc
261,vhigh,med,3,4,big,high,acc
262,vhigh,med,3,more,small,low,-1
263,vhigh,med,3,more,small,med,-1
264,vhigh,med,3,more,small,high,acc
265,vhigh,med,3,more,med,low,-1
266,vhigh,med,3,more,med,med,acc
267,vhigh,med,3,more,med,high,acc
268,vhigh,med,3,more,big,low,-1
269,vhigh,med,3,more,big,med,acc
270,vhigh,med,3,more,big,high,acc
271,vhigh,med,4,2,small,low,-1
272,vhigh,med,4,2,small,med,-1
273,vhigh,med,4,2,small,high,-1
274,vhigh,med,4,2,med,low,-1
275,vhigh,med,4,2,med,med,-1
276,vhigh,med,4,2,med,high,-1
277,vhigh,med,4,2,big,low,-1
278,vhigh,med,4,2,big,med,-1
279,vhigh,med,4,2,big,high,-1
280,vhigh,med,4,4,small,low,-1
281,vhigh,med,4,4,small,med,-1
282,vhigh,med,4,4,small,high,acc
283,vhigh,med,4,4,med,low,-1
284,vhigh,med,4,4,med,med,acc
285,vhigh,med,4,4,med,high,acc
286,vhigh,med,4,4,big,low,-1
287,vhigh,med,4,4,big,med,acc
288,vhigh,med,4,4,big,high,acc
289,vhigh,med,4,more,small,low,-1
290,vhigh,med,4,more,small,med,-1
291,vhigh,med,4,more,small,high,acc
292,vhigh,med,4,more,med,low,-1
293,vhigh,med,4,more,med,med,acc
294,vhigh,med,4,more,med,high,acc
295,vhigh,med,4,more,big,low,-1
296,vhigh,med,4,more,big,med,acc
297,vhigh,med,4,more,big,high,acc
298,vhigh,med,5more,2,small,low,-1
299,vhigh,med,5more,2,small,med,-1
300,vhigh,med,5more,2,small,high,-1
301,vhigh,med,5more,2,med,low,-1
302,vhigh,med,5more,2,med,med,-1
303,vhigh,med,5more,2,med,high,-1
304,vhigh,med,5more,2,big,low,-1
305,vhigh,med,5more,2,big,med,-1
306,vhigh,med,5more,2,big,high,-1
307,vhigh,med,5more,4,small,low,-1
308,vhigh,med,5more,4,small,med,-1
309,vhigh,med,5more,4,small,high,acc
310,vhigh,med,5more,4,med,low,-1
311,vhigh,med,5more,4,med,med,acc
312,vhigh,med,5more,4,med,high,acc
313,vhigh,med,5more,4,big,low,-1
314,vhigh,med,5more,4,big,med,acc
315,vhigh,med,5more,4,big,high,acc
316,vhigh,med,5more,more,small,low,-1
317,vhigh,med,5more,more,small,med,-1
318,vhigh,med,5more,more,small,high,acc
319,vhigh,med,5more,more,med,low,-1
320,vhigh,med,5more,more,med,med,acc
321,vhigh,med,5more,more,med,high,acc
322,vhigh,med,5more,more,big,low,-1
323,vhigh,med,5more,more,big,med,acc
324,vhigh,med,5more,more,big,high,acc
325,vhigh,low,2,2,small,low,-1
326,vhigh,low,2,2,small,med,-1
327,vhigh,low,2,2,small,high,-1
328,vhigh,low,2,2,med,low,-1
329,vhigh,low,2,2,med,med,-1
330,vhigh,low,2,2,med,high,-1
331,vhigh,low,2,2,big,low,-1
332,vhigh,low,2,2,big,med,-1
333,vhigh,low,2,2,big,high,-1
334,vhigh,low,2,4,small,low,-1
335,vhigh,low,2,4,small,med,-1
336,vhigh,low,2,4,small,high,acc
337,vhigh,low,2,4,med,low,-1
338,vhigh,low,2,4,med,med,-1
339,vhigh,low,2,4,med,high,acc
340,vhigh,low,2,4,big,low,-1
341,vhigh,low,2,4,big,med,acc
342,vhigh,low,2,4,big,high,acc
343,vhigh,low,2,more,small,low,-1
344,vhigh,low,2,more,small,med,-1
345,vhigh,low,2,more,small,high,-1
346,vhigh,low,2,more,med,low,-1
347,vhigh,low,2,more,med,med,-1
348,vhigh,low,2,more,med,high,acc
349,vhigh,low,2,more,big,low,-1
350,vhigh,low,2,more,big,med,acc
351,vhigh,low,2,more,big,high,acc
352,vhigh,low,3,2,small,low,-1
353,vhigh,low,3,2,small,med,-1
354,vhigh,low,3,2,small,high,-1
355,vhigh,low,3,2,med,low,-1
356,vhigh,low,3,2,med,med,-1
357,vhigh,low,3,2,med,high,-1
358,vhigh,low,3,2,big,low,-1
359,vhigh,low,3,2,big,med,-1
360,vhigh,low,3,2,big,high,-1
361,vhigh,low,3,4,small,low,-1
362,vhigh,low,3,4,small,med,-1
363,vhigh,low,3,4,small,high,acc
364,vhigh,low,3,4,med,low,-1
365,vhigh,low,3,4,med,med,-1
366,vhigh,low,3,4,med,high,acc
367,vhigh,low,3,4,big,low,-1
368,vhigh,low,3,4,big,med,acc
369,vhigh,low,3,4,big,high,acc
370,vhigh,low,3,more,small,low,-1
371,vhigh,low,3,more,small,med,-1
372,vhigh,low,3,more,small,high,acc
373,vhigh,low,3,more,med,low,-1
374,vhigh,low,3,more,med,med,acc
375,vhigh,low,3,more,med,high,acc
376,vhigh,low,3,more,big,low,-1
377,vhigh,low,3,more,big,med,acc
378,vhigh,low,3,more,big,high,acc
379,vhigh,low,4,2,small,low,-1
380,vhigh,low,4,2,small,med,-1
381,vhigh,low,4,2,small,high,-1
382,vhigh,low,4,2,med,low,-1
383,vhigh,low,4,2,med,med,-1
384,vhigh,low,4,2,med,high,-1
385,vhigh,low,4,2,big,low,-1
386,vhigh,low,4,2,big,med,-1
387,vhigh,low,4,2,big,high,-1
388,vhigh,low,4,4,small,low,-1
389,vhigh,low,4,4,small,med,-1
390,vhigh,low,4,4,small,high,acc
391,vhigh,low,4,4,med,low,-1
392,vhigh,low,4,4,med,med,acc
393,vhigh,low,4,4,med,high,acc
394,vhigh,low,4,4,big,low,-1
395,vhigh,low,4,4,big,med,acc
396,vhigh,low,4,4,big,high,acc
397,vhigh,low,4,more,small,low,-1
398,vhigh,low,4,more,small,med,-1
399,vhigh,low,4,more,small,high,acc
400,vhigh,low,4,more,med,low,-1
401,vhigh,low,4,more,med,med,acc
402,vhigh,low,4,more,med,high,acc
403,vhigh,low,4,more,big,low,-1
404,vhigh,low,4,more,big,med,acc
405,vhigh,low,4,more,big,high,acc
406,vhigh,low,5more,2,small,low,-1
407,vhigh,low,5more,2,small,med,-1
408,vhigh,low,5more,2,small,high,-1
409,vhigh,low,5more,2,med,low,-1
410,vhigh,low,5more,2,med,med,-1
411,vhigh,low,5more,2,med,high,-1
412,vhigh,low,5more,2,big,low,-1
413,vhigh,low,5more,2,big,med,-1
414,vhigh,low,5more,2,big,high,-1
415,vhigh,low,5more,4,small,low,-1
416,vhigh,low,5more,4,small,med,-1
417,vhigh,low,5more,4,small,high,acc
418,vhigh,low,5more,4,med,low,-1
419,vhigh,low,5more,4,med,med,acc
420,vhigh,low,5more,4,med,high,acc
421,vhigh,low,5more,4,big,low,-1
422,vhigh,low,5more,4,big,med,acc
423,vhigh,low,5more,4,big,high,acc
424,vhigh,low,5more,more,small,low,-1
425,vhigh,low,5more,more,small,med,-1
426,vhigh,low,5more,more,small,high,acc
427,vhigh,low,5more,more,med,low,-1
428,vhigh,low,5more,more,med,med,acc
429,vhigh,low,5more,more,med,high,acc
430,vhigh,low,5more,more,big,low,-1
431,vhigh,low,5more,more,big,med,acc
432,vhigh,low,5more,more,big,high,acc
433,high,vhigh,2,2,small,low,-1
434,high,vhigh,2,2,small,med,-1
435,high,vhigh,2,2,small,high,-1
436,high,vhigh,2,2,med,low,-1
437,high,vhigh,2,2,med,med,-1
438,high,vhigh,2,2,med,high,-1
439,high,vhigh,2,2,big,low,-1
440,high,vhigh,2,2,big,med,-1
441,high,vhigh,2,2,big,high,-1
442,high,vhigh,2,4,small,low,-1
443,high,vhigh,2,4,small,med,-1
444,high,vhigh,2,4,small,high,-1
445,high,vhigh,2,4,med,low,-1
446,high,vhigh,2,4,med,med,-1
447,high,vhigh,2,4,med,high,-1
448,high,vhigh,2,4,big,low,-1
449,high,vhigh,2,4,big,med,-1
450,high,vhigh,2,4,big,high,-1
451,high,vhigh,2,more,small,low,-1
452,high,vhigh,2,more,small,med,-1
453,high,vhigh,2,more,small,high,-1
454,high,vhigh,2,more,med,low,-1
455,high,vhigh,2,more,med,med,-1
456,high,vhigh,2,more,med,high,-1
457,high,vhigh,2,more,big,low,-1
458,high,vhigh,2,more,big,med,-1
459,high,vhigh,2,more,big,high,-1
460,high,vhigh,3,2,small,low,-1
461,high,vhigh,3,2,small,med,-1
462,high,vhigh,3,2,small,high,-1
463,high,vhigh,3,2,med,low,-1
464,high,vhigh,3,2,med,med,-1
465,high,vhigh,3,2,med,high,-1
466,high,vhigh,3,2,big,low,-1
467,high,vhigh,3,2,big,med,-1
468,high,vhigh,3,2,big,high,-1
469,high,vhigh,3,4,small,low,-1
470,high,vhigh,3,4,small,med,-1
471,high,vhigh,3,4,small,high,-1
472,high,vhigh,3,4,med,low,-1
473,high,vhigh,3,4,med,med,-1
474,high,vhigh,3,4,med,high,-1
475,high,vhigh,3,4,big,low,-1
476,high,vhigh,3,4,big,med,-1
477,high,vhigh,3,4,big,high,-1
478,high,vhigh,3,more,small,low,-1
479,high,vhigh,3,more,small,med,-1
480,high,vhigh,3,more,small,high,-1
481,high,vhigh,3,more,med,low,-1
482,high,vhigh,3,more,med,med,-1
483,high,vhigh,3,more,med,high,-1
484,high,vhigh,3,more,big,low,-1
485,high,vhigh,3,more,big,med,-1
486,high,vhigh,3,more,big,high,-1
487,high,vhigh,4,2,small,low,-1
488,high,vhigh,4,2,small,med,-1
489,high,vhigh,4,2,small,high,-1
490,high,vhigh,4,2,med,low,-1
491,high,vhigh,4,2,med,med,-1
492,high,vhigh,4,2,med,high,-1
493,high,vhigh,4,2,big,low,-1
494,high,vhigh,4,2,big,med,-1
495,high,vhigh,4,2,big,high,-1
496,high,vhigh,4,4,small,low,-1
497,high,vhigh,4,4,small,med,-1
498,high,vhigh,4,4,small,high,-1
499,high,vhigh,4,4,med,low,-1
500,high,vhigh,4,4,med,med,-1
501,high,vhigh,4,4,med,high,-1
502,high,vhigh,4,4,big,low,-1
503,high,vhigh,4,4,big,med,-1
504,high,vhigh,4,4,big,high,-1
505,high,vhigh,4,more,small,low,-1
506,high,vhigh,4,more,small,med,-1
507,high,vhigh,4,more,small,high,-1
508,high,vhigh,4,more,med,low,-1
509,high,vhigh,4,more,med,med,-1
510,high,vhigh,4,more,med,high,-1
511,high,vhigh,4,more,big,low,-1
512,high,vhigh,4,more,big,med,-1
513,high,vhigh,4,more,big,high,-1
514,high,vhigh,5more,2,small,low,-1
515,high,vhigh,5more,2,small,med,-1
516,high,vhigh,5more,2,small,high,-1
517,high,vhigh,5more,2,med,low,-1
518,high,vhigh,5more,2,med,med,-1
519,high,vhigh,5more,2,med,high,-1
520,high,vhigh,5more,2,big,low,-1
521,high,vhigh,5more,2,big,med,-1
522,high,vhigh,5more,2,big,high,-1
523,high,vhigh,5more,4,small,low,-1
524,high,vhigh,5more,4,small,med,-1
525,high,vhigh,5more,4,small,high,-1
526,high,vhigh,5more,4,med,low,-1
527,high,vhigh,5more,4,med,med,-1
528,high,vhigh,5more,4,med,high,-1
529,high,vhigh,5more,4,big,low,-1
530,high,vhigh,5more,4,big,med,-1
